,FS_Method,N_Features,ML_Model,CV_RMSE_dev,Holdout_RMSE,Holdout_MAE,Holdout_R2,Best_Params,Features,Time_sec
129,Pearson_gt0.20,3,XGBoost,0.6258,0.5892,0.4631,-0.007,"{'model__subsample': 0.8, 'model__max_depth': 3, 'model__learning_rate': 0.05, 'model__colsample_bytree': 0.8}","sum_weighted_score, avg_weighted_score, humility_challenging",2.3
130,RF_Importance_med,16,XGBoost,0.621,0.5908,0.4626,-0.0125,"{'model__subsample': 1.0, 'model__max_depth': 3, 'model__learning_rate': 0.05, 'model__colsample_bytree': 0.8}","redo_success, total_success, sum_weighted_score, avg_weighted_score, n_skip_hint_under22_reverse, percent_redo_duration_failedround, main_sum_duration, main_avg_duration, total_n_hint, n_redo, n_easier, n_hintsusedat_10, n_hintsusedat_20, avg_hintsusedat, n_easy, total_hint_time",5.0
131,Spearman_gt0.20,2,XGBoost,0.6233,0.591,0.4644,-0.0132,"{'model__subsample': 0.8, 'model__max_depth': 3, 'model__learning_rate': 0.05, 'model__colsample_bytree': 0.8}","sum_weighted_score, avg_weighted_score",2.4
132,Pearson_gt0.15,4,XGBoost,0.6258,0.5916,0.465,-0.0152,"{'model__subsample': 0.8, 'model__max_depth': 3, 'model__learning_rate': 0.05, 'model__colsample_bytree': 0.8}","sum_weighted_score, avg_weighted_score, avg_duration_failed_round, humility_challenging",2.3
133,Kendall_gt0.10,5,KNN_Regressor,0.61,0.5931,0.463,-0.0204,"{'model__weights': 'uniform', 'model__p': 2, 'model__n_neighbors': 15}","sum_weighted_score, avg_weighted_score, avg_duration_failed_round, n_redo_failed_round, humility_challenging",0.4
134,Spearman_gt0.15,5,KNN_Regressor,0.61,0.5931,0.463,-0.0204,"{'model__weights': 'uniform', 'model__p': 2, 'model__n_neighbors': 15}","sum_weighted_score, avg_weighted_score, avg_duration_failed_round, n_redo_failed_round, humility_challenging",0.4
135,RF_Importance_p80,7,RandomForest,0.6014,0.5935,0.4552,-0.0219,"{'model__n_estimators': 200, 'model__min_samples_split': 5, 'model__max_features': 'sqrt', 'model__max_depth': 5}","sum_weighted_score, avg_weighted_score, n_skip_hint_under22_reverse, main_sum_duration, main_avg_duration, avg_hintsusedat, total_hint_time",4.6
136,Kendall_gt0.15,3,KNN_Regressor,0.6139,0.595,0.4655,-0.0271,"{'model__weights': 'uniform', 'model__p': 2, 'model__n_neighbors': 15}","sum_weighted_score, avg_weighted_score, avg_duration_failed_round",0.3
137,RF_Importance_p80,7,KNN_Regressor,0.6166,0.5955,0.4612,-0.0286,"{'model__weights': 'uniform', 'model__p': 2, 'model__n_neighbors': 15}","sum_weighted_score, avg_weighted_score, n_skip_hint_under22_reverse, main_sum_duration, main_avg_duration, avg_hintsusedat, total_hint_time",0.3
138,RFE_Ridge_Top20,20,XGBoost,0.6266,0.598,0.4666,-0.0374,"{'model__subsample': 0.8, 'model__max_depth': 3, 'model__learning_rate': 0.05, 'model__colsample_bytree': 0.8}","redo_success, total_success, sum_weighted_score, avg_weighted_score, n_skip_hint_under22_reverse, avg_duration_failed_round, main_n_skip, main_sum_duration, main_avg_duration, percent_success_hint_after22, humility_bottomlimit, total_n_hint, main_n_hint, redo_n_hint, n_redo, n_hintsusedat_10, avg_hintsusedat, n_normal, n_hard, total_hint_time",8.4
139,Kendall_gt0.15,3,XGBoost,0.6243,0.5988,0.471,-0.0403,"{'model__subsample': 0.8, 'model__max_depth': 3, 'model__learning_rate': 0.05, 'model__colsample_bytree': 0.8}","sum_weighted_score, avg_weighted_score, avg_duration_failed_round",3.1
140,Lasso_NonZero,14,KNN_Regressor,0.6114,0.6016,0.4802,-0.0499,"{'model__weights': 'uniform', 'model__p': 1, 'model__n_neighbors': 15}","avg_weighted_score, n_skip_hint_under22_reverse, percent_redo_duration_failedround, avg_duration_failed_round, main_sum_duration, redo_n_hint, humility_challenging, n_redo, n_easier, n_same, n_veryeasy, n_easy, n_normal, n_hard",0.5
141,Lasso_NonZero,14,XGBoost,0.6189,0.6061,0.4759,-0.0658,"{'model__subsample': 1.0, 'model__max_depth': 3, 'model__learning_rate': 0.05, 'model__colsample_bytree': 0.8}","avg_weighted_score, n_skip_hint_under22_reverse, percent_redo_duration_failedround, avg_duration_failed_round, main_sum_duration, redo_n_hint, humility_challenging, n_redo, n_easier, n_same, n_veryeasy, n_easy, n_normal, n_hard",6.0
142,Lasso_NonZero,14,MLP_Regressor,0.6195,0.6078,0.481,-0.0718,"{'model__learning_rate': 'adaptive', 'model__hidden_layer_sizes': (64, 32), 'model__alpha': 0.01, 'model__activation': 'tanh'}","avg_weighted_score, n_skip_hint_under22_reverse, percent_redo_duration_failedround, avg_duration_failed_round, main_sum_duration, redo_n_hint, humility_challenging, n_redo, n_easier, n_same, n_veryeasy, n_easy, n_normal, n_hard",22.3
143,RFE_Ridge_Top20,20,MLP_Regressor,0.6135,0.608,0.4654,-0.0724,"{'model__learning_rate': 'constant', 'model__hidden_layer_sizes': (128,), 'model__alpha': 0.001, 'model__activation': 'tanh'}","redo_success, total_success, sum_weighted_score, avg_weighted_score, n_skip_hint_under22_reverse, avg_duration_failed_round, main_n_skip, main_sum_duration, main_avg_duration, percent_success_hint_after22, humility_bottomlimit, total_n_hint, main_n_hint, redo_n_hint, n_redo, n_hintsusedat_10, avg_hintsusedat, n_normal, n_hard, total_hint_time",24.2
144,RF_Importance_med,16,MLP_Regressor,0.6033,0.624,0.4796,-0.1295,"{'model__learning_rate': 'constant', 'model__hidden_layer_sizes': (64,), 'model__alpha': 0.01, 'model__activation': 'tanh'}","redo_success, total_success, sum_weighted_score, avg_weighted_score, n_skip_hint_under22_reverse, percent_redo_duration_failedround, main_sum_duration, main_avg_duration, total_n_hint, n_redo, n_easier, n_hintsusedat_10, n_hintsusedat_20, avg_hintsusedat, n_easy, total_hint_time",11.3
